name,ring,quadrant,isNew,description,
NoSQL,Standard,Storage and Data Management,FALSE,"A NoSQL (originally referring to ""non-SQL"" or ""non-relational"") database provides a mechanism for storage and retrieval of data that is modeled in means other than the tabular relations used in relational databases. Such databases have existed since the late 1960s, but the name ""NoSQL"" was only coined in the early 21st century, triggered by the needs of Web 2.0 companies. NoSQL databases are increasingly used in big data and real-time web applications. NoSQL systems are also sometimes called Not only SQL to emphasize that they may support SQL-like query languages or sit alongside SQL databases in polyglot-persistent architectures.",Added in 2022 Q2
Relational Database,Standard,Storage and Data Management,FALSE,A relational database is a collection of data items with pre-defined relationships between them. These items are organized as a set of tables with columns and rows. Tables are used to hold information about the objects to be represented in the database.,Added in 2022 Q2
Object storage,Standard,Storage and Data Management,FALSE,"Object storage (also known as object-based storage) is a computer data storage architecture that manages data as objects, as opposed to other storage architectures like file systems which manages data as a file hierarchy, and block storage which manages data as blocks within sectors and tracks. Each object typically includes the data itself, a variable amount of metadata, and a globally unique identifier. Object storage can be implemented at multiple levels, including the device level (object-storage device), the system level, and the interface level. In each case, object storage seeks to enable capabilities not addressed by other storage architectures, like interfaces that are directly programmable by the application, a namespace that can span multiple instances of physical hardware, and data-management functions like data replication and data distribution at object-level granularity.",Added in 2022 Q2
Block storage,Standard,Storage and Data Management,FALSE,"In computing (specifically data transmission and data storage), a block, sometimes called a physical record, is a sequence of bytes or bits, usually containing some whole number of records, having a maximum length; a block size.[ Data thus structured are said to be blocked. The process of putting data into blocks is called blocking, while deblocking is the process of extracting data from blocks. Blocked data is normally stored in a data buffer, and read or written a whole block at a time. Blocking reduces the overhead and speeds up the handling of the data-stream.",Added in 2022 Q2
Network file system,Standard,Storage and Data Management,FALSE,A network file system (NFS) is a type of file system mechanism that enables the storage and retrieval of data from multiple disks and directories across a shared network. A network file system enables local users to access remote data and files in the same way they are accessed locally.,Added in 2022 Q2
Data Streaming,Evaluate,Storage and Data Management,FALSE,Data streaming is the process of transmitting a continuous flow of data (also known as streams) typically fed into stream processing software to derive valuable insights. A data stream consists of a series of data elements ordered in time.,Added in 2022 Q2
Data batching processing,Evaluate,Storage and Data Management,FALSE,"Computerized batch processing is a method of running software programs called jobs in batches automatically. While users are required to submit the jobs, no other interaction by the user is required to process the batch.",Added in 2022 Q2
Machine Learning,Evaluate,Storage and Data Management,FALSE,"Machine learning (ML) is the study of computer algorithms that can improve automatically through experience and by the use of data. It is seen as a part of artificial intelligence. Machine learning algorithms build a model based on sample data, known as training data, in order to make predictions or decisions without being explicitly programmed to do so. Machine learning algorithms are used in a wide variety of applications, such as in medicine, email filtering, speech recognition, and computer vision, where it is difficult or unfeasible to develop conventional algorithms to perform the needed tasks.",Added in 2022 Q2
Dremio,Evaluate,Storage and Data Management,TRUE,"Dremio is a self-service data ingestion tool. Although data extraction is a basic feature of any DAAS tool, most DAAS tools require custom scripts for different data sources. Dremio has a different approach for data extraction. Dremio creates a central data catalog for all the data sources you connect to it. Added in 2022 Q3",Added in 2022 Q3
Data Mesh,Monitor,Storage and Data Management,FALSE,"Data Mesh is an organizational and architectural paradigm for managing Big Data that originated in 2019. It is a process and architectural approach that delegates responsibility for specific data sets to members of a business that have the subject matter expertise to know what the data is supposed to represent and how it should be used. The name Data Mesh comes from Mesh Networking, as this new model is also based on a decentralized architecture and proposes to move beyond a monolithic Data Lake. With Data Mesh, instead of assuming that data will reside in a data lake, each area of business is responsible for choosing how to host and serve the datasets that they own.",Added in 2022 Q2
Continuous delivery for machine learning (CD4ML),Monitor,Storage and Data Management,FALSE,"Machine Learning applications are becoming popular in our industry, however the process for developing, deploying, and continuously improving them is more complex compared to more traditional software, such as a web service or a mobile application. They are subject to change in three axis: the code itself, the model, and the data. Their behaviour is often complex and hard to predict, and they are harder to test, harder to explain, and harder to improve. Continuous Delivery for Machine Learning (CD4ML) is the discipline of bringing Continuous Delivery principles and practices to Machine Learning applications.",Added in 2022 Q2
Container-based builds,Standard,Techniques and Patterns,FALSE,"Running your builds in isolated containers keeps your build servers clean. It allows you to even run them with multiple versions of a framework or programming language, and decoupled with cloud service providers.",Added in 2022 Q2
